Food code,Main food description,Maximum Amount,WWEIA Category number,WWEIA Category description,Minimize,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added(mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added(mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),Iron (mg),Zinc (mg),Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),4:0(g),6:0(g),8:0(g),10:0(g),12:0(g),14:0(g),16:0(g),18:0(g),16:1(g),18:1(g),20:1(g),22:1(g),18:2(g),18:3(g),18:4 (g),20:4 (g),20:5 n-3(g),22:5 n-3(g),22:6 n-3(g),ALA,Water(g),Omega 3,Omega 6,factor1
41304970,"Lentils, NFS",None,2802,"Beans, peas, legumes",8.38,165,8.38,18.71,1.67,7.3,6.86,0.939,2.784,2.842,0,0,0,0,5,0,0,0,0.149,0.064,0.936,0.157,0,160,160,160,30.4,0,0,1.3,0,0.86,0,9.2,18,167,33,3.11,1.18,0.233,2.6,343,218,0,0,0,0,0,0,0,0,0.001,0.676,0.213,0.024,2.73,0.028,0,2.477,0.364,0,0,0,0,0,0,64.72,0,2.477,-2.477
75503090,Horseradish,None,8406,Mustard and other condiments,1.18,48,1.18,11.29,7.99,3.3,0.69,0.09,0.13,0.339,0,0,0,0,1,0,0,10,0.008,0.024,0.386,0.073,0,57,57,57,6.5,0,0,24.9,0,0.01,0,1.3,56,31,27,0.42,0.83,0.058,2.8,246,420,0,0,0,0,0,0,0,0.002,0.001,0.061,0.021,0.001,0.127,0.001,0.001,0.285,0.053,0,0,0,0,0,0,85.08,0,0.285,-0.285
56204005,"Quinoa, no added fat",None,4004,"Pasta, noodles, cooked grains",4.38,120,4.38,21.21,0.87,2.8,1.91,0.23,0.526,1.074,0,0,0,0,3,0,0,53,0.107,0.11,0.41,0.123,0,42,42,42,22.9,0,0,0,0,0.63,0,0,17,151,64,1.48,1.09,0.191,2.8,171,163,0,0,0,0,0,0,0,0,0,0.195,0.012,0,0.463,0.031,0.027,0.97,0.085,0,0.003,0,0,0.015,0,71.32,0.015,0.973,-0.958
41301990,"Chickpeas, NFS",None,2802,"Beans, peas, legumes",8.23,210,8.23,25.48,4.46,7.1,8.91,1.14,3.266,3.754,0,0,1,0,15,0,0,0,0.102,0.056,0.464,0.123,0,152,152,152,39.8,0,0,1.1,0,1.09,0,11.4,46,156,45,2.7,1.42,0.327,3.4,270,222,0,0,0,0,0,0,0,0,0.004,0.834,0.243,0.028,3.21,0.026,0,3.384,0.37,0,0,0,0,0,0,55.96,0,3.384,-3.384
41102990,"Lima beans, NFS",None,2802,"Beans, peas, legumes",7.25,164,7.25,19.4,2.7,6.5,6.86,0.972,2.756,2.839,0,0,0,0,0,0,0,0,0.142,0.049,0.372,0.142,0,73,73,73,30.2,0,0,0,0,0.93,0,9.5,16,103,40,2.23,0.88,0.218,4.2,472,218,0,0,0,0,0,0,0,0,0.001,0.695,0.225,0.025,2.7,0.026,0.002,2.459,0.378,0,0,0,0,0,0,64.86,0,2.459,-2.459
41103990,"Pinto beans, NFS",None,2802,"Beans, peas, legumes",8.37,191,8.37,24.37,0.32,8.4,7.11,1.016,2.848,2.898,0,0,0,0,0,0,0,0,0.17,0.055,0.281,0.202,0,152,152,152,32.8,0,0,0.7,0,1.64,0,10.9,43,137,46,1.95,0.91,0.204,5.8,405,217,0,0,0,0,0,0,0,0,0,0.758,0.211,0.023,2.797,0.026,0,2.441,0.457,0,0,0,0,0,0,58.51,0,2.441,-2.441
75115000,"Mushrooms, raw",None,6420,Other vegetables and combinations,3.09,22,3.09,3.26,1.98,1,0.34,0.05,0,0.16,0,0,0,0,0,0,0,0,0.081,0.402,3.607,0.104,0,17,17,17,17.3,0.04,0,2.1,0.2,0.01,0,0,3,86,9,0.5,0.52,0.318,9.3,318,5,0,0,0,0,0,0,0,0,0,0.04,0.01,0,0,0,0,0.16,0,0,0,0,0,0,0,92.45,0,0.16,-0.16
75111500,"Garlic, raw",None,8406,Mustard and other condiments,6.36,149,6.36,33.06,1,2.1,0.5,0.089,0.011,0.249,0,0,0,0,5,0,0,16,0.2,0.11,0.7,1.235,0,3,3,3,23.2,0,0,31.2,0,0.08,0,1.7,181,153,25,1.7,1.16,0.299,14.2,401,17,0,0,0,0,0,0,0.002,0,0,0.087,0,0,0.011,0,0,0.229,0.02,0,0,0,0,0,0,58.58,0,0.229,-0.229
26315100,"Oysters, raw",None,2404,Shellfish,5.71,51,5.71,2.72,0.62,0,1.71,0.474,0.253,0.528,40,13,13,0,0,0,0,0,0.018,0.09,0.925,0.031,0,7,7,7,65,8.75,0,0,0,0.85,0,1,59,97,18,4.61,39.3,2.858,19.7,156,85,0,0,0,0,0,0,0,0.001,0.05,0.319,0.066,0.052,0.168,0.028,0.001,0.041,0.084,0.048,0.022,0.177,0.01,0.136,0,89.04,0.323,0.063,0.26
43108010,Chia seeds,None,2804,Nuts and seeds,18.29,534,18.29,28.88,1.55,27.3,42.16,3.663,7.527,28.73,0,0,0,0,0,0,0,651,1.644,0.161,3.08,0.473,0,87,87,87,78.7,0,0,0.6,0,0.31,0,4.3,255,642,392,5.73,4.34,1.22,25.4,813,30,0,0,0,0,0,0,0,0,0.008,2.165,1.33,0.024,7.359,0.067,0.013,5.903,22.813,0,0,0,0,0,17.8,6.96,17.8,5.903,11.897
26151123,"Trout, baked or broiled, no added fat",None,2402,Fish,25.12,178,25.12,0.1,0.04,0,7.79,1.742,2.492,1.898,74,90,90,0,0,0,0,0,0.144,0.114,7.012,0.386,0,13,13,13,81.9,4.6,0,3.4,20,2.95,0,0.1,32,285,32,0.39,0.57,0.058,29.7,476,387,0,0,0,0,0,0,0,0.005,0.229,1.169,0.288,0.428,1.73,0.28,0.023,0.62,0.085,0.001,0.054,0.273,0.115,0.65,0,66.06,1.038,0.674,0.364
26158013,"Tilapia, baked or broiled, no added fat",None,2402,Fish,25.29,121,25.29,0.1,0.04,0,2.14,0.737,0.627,0.457,63,0,0,0,0,0,0,0,0.047,0.076,4.671,0.184,0,27,27,27,53.6,1.79,0,0.5,3.9,0.51,0,1.8,13,214,34,0.71,0.42,0.095,52.6,382,388,0,0,0,0,0,0,0,0,0.067,0.534,0.135,0.125,0.477,0.025,0,0.199,0.042,0.004,0.029,0.006,0.054,0.108,0,71.46,0.168,0.228,-0.06
G,,,,Young Adult,,None,None,None,None,None,None,None,None,None,None,None,850,None,None,None,None,None,1.4,1.6,15,1.4,None,None,240,None,None,2.4,None,None,None,7,None,75,800,1000,340,7,12,0.9,30,2500,600,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.1,None,0
E,,,,Young Adult,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
L,,,,Young Adult,,2000,None,None,None,None,None,None,None,None,750,2700,None,None,None,None,30,None,None,None,300,55,None,None,1300,None,None,None,None,None,50,800,None,None,2300,3000,None,50,40,10,280,2800,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10,None
